     0.000  17.623064  -0.153588  17.622394
     0.010  17.623406  -0.218433  17.622052
     0.020  17.628819  -0.655261  17.616637
     0.030  17.639647  -1.092190  17.605802
     0.040  17.655890  -1.529286  17.589535
     0.050  17.677552  -1.966618  17.567819
     0.060  17.704635  -2.404251  17.540629
     0.070  17.737144  -2.842253  17.507938
     0.080  17.775085  -3.280692  17.469708
     0.090  17.818464  -3.719635  17.425899
     0.100  17.867288  -4.159149  17.376463
     0.110  17.921567  -4.599302  17.321345
     0.120  17.981311  -5.040160  17.260485
     0.130  18.046531  -5.481792  17.193814
     0.140  18.117241  -5.924265  17.121259
     0.150  18.193456  -6.367647  17.042737
     0.160  18.275192  -6.812005  16.958161
     0.170  18.362469  -7.257407  16.867433
     0.180  18.455307  -7.703921  16.770449
     0.190  18.553730  -8.151613  16.667097
     0.200  18.657764  -8.600552  16.557255
     0.210  18.767438  -9.050803  16.440793
     0.220  18.882782  -9.502435  16.317573
     0.230  19.003833  -9.955514  16.187446
     0.240  19.130627 -10.410105  16.050253
     0.250  19.263207 -10.866275  15.905823
     0.260  19.401618 -11.324088  15.753977
     0.270  19.545909 -11.783608  15.594523
     0.280  19.696135 -12.244900  15.427254
     0.290  19.852354 -12.708024  15.251954
     0.300  20.014630 -13.173042  15.068390
     0.310  20.183032 -13.640013  14.876318
     0.320  20.357633 -14.108993  14.675474
     0.330  20.538515 -14.580039  14.465582
     0.340  20.725763 -15.053203  14.246345
     0.350  20.919472 -15.528533  14.017451
     0.360  21.119740 -16.006078  13.778566
     0.370  21.326676 -16.485877  13.529337
     0.380  21.540396 -16.967970  13.269387
     0.390  21.761022 -17.452389  12.998316
     0.400  21.988689 -17.939159  12.715699
     0.410  22.223537 -18.428301  12.421084
     0.420  22.465719 -18.919824  12.113991
     0.430  22.715397 -19.413733  11.793907
     0.440  22.972745 -19.910017  11.460288
     0.450  23.237947 -20.408658  11.112554
     0.460  23.511201 -20.909620  10.750086
     0.470  23.792718 -21.412855  10.372226
     0.480  24.082722 -21.918294   9.978271
     0.490  24.381452 -22.425849   9.567470
     0.500  24.689162 -22.935409   9.139023
     0.510  25.006124 -23.446834   8.692076
     0.520  25.332625 -23.959956   8.225714
     0.530  25.668972 -24.474571   7.738961
     0.540  26.015490 -24.990432   7.230772
     0.550  26.372526 -25.507249   6.700029
     0.560  26.740446 -26.024678   6.145536
     0.570  27.119641 -26.542314   5.566010
     0.580  27.510522 -27.059683   4.960079
     0.590  27.913527 -27.576228   4.326271
     0.600  28.329120 -28.091305   3.663011
     0.610  28.757789 -28.604158   2.968607
     0.620  29.200052 -29.113911   2.241249
     0.630  29.656452 -29.619549   1.478997
     0.640  30.127561 -30.119891   0.679774
     0.650  30.613979 -30.613568  -0.158646
     0.660  31.116335 -31.098996  -1.038637
     0.670  31.635281 -31.574336  -1.962740
     0.680  32.171496 -32.037459  -2.933659
     0.690  32.725677 -32.485900  -3.954268
     0.700  33.298539 -32.916801  -5.027615
     0.710  33.890804 -33.326851  -6.156914
     0.720  34.503194 -33.712215  -7.345541
     0.730  35.136420 -34.068452  -8.597011
     0.740  35.791159 -34.390417  -9.914955
     0.750  36.468041 -34.672158 -11.303074
     0.760  37.167610 -34.906790 -12.765080
     0.770  37.890297 -35.086364 -14.304605
     0.780  38.636366 -35.201713 -15.925081
     0.790  39.405857 -35.242298 -17.629576
     0.800  40.198508 -35.196041 -19.420575
     0.810  41.013667 -35.049165 -21.299694
     0.820  41.850172 -34.786049 -23.267310
     0.830  42.706215 -34.389130 -25.322097
     0.840  43.579178 -33.838869 -27.460439
     0.850  44.465442 -33.113840 -29.675733
     0.860  45.360178 -32.190986 -31.957568
     0.870  46.257124 -31.046135 -34.290800
     0.880  47.148364 -29.654836 -36.654589
     0.890  48.024147 -27.993619 -39.021481
     0.900  48.872769 -26.041737 -41.356686
     0.910  49.680590 -23.783407 -43.617778
     0.920  50.432229 -21.210471 -45.755062
     0.930  51.111013 -18.325266 -47.712894
     0.940  51.699699 -15.143317 -49.432164
     0.950  52.181492 -11.695332 -50.853980
     0.960  52.541259  -8.027874 -51.924341
     0.970  52.766838  -4.202226 -52.599244
     0.980  52.850204  -0.291215 -52.849402
     0.990  52.788313   3.625779 -52.663647
     1.000  52.583430   7.468906 -52.050288
     1.010  52.242881  11.164016 -51.036098
     1.020  51.778285  14.647866 -49.663174
     1.030  51.204415  17.871588 -47.984357
     1.040  50.537902  20.802127 -46.058127
     1.050  49.795990  23.421808 -43.943822
     1.060  48.995492  25.726497 -41.697788
     1.070  48.152013  27.722978 -39.370710
     1.080  47.279471  29.426081 -37.006137
     1.090  46.389860  30.855968 -34.639983
     1.100  45.493218  32.035828 -32.300753
     1.110  44.597722  32.990057 -30.010213
     1.120  43.709864  33.742932 -27.784290
     1.130  42.834674  34.317713 -25.634038
     1.140  41.975935  34.736090 -23.566569
     1.150  41.136400  35.017890 -21.585894
     1.160  40.317989  35.180972 -19.693640
     1.170  39.521947  35.241236 -17.889651
     1.180  38.748998  35.212727 -16.172468
     1.190  37.999452  35.107763 -14.539715
     1.200  37.273309  34.937103 -12.988396
     1.210  36.570335  34.710106 -11.515120
     1.220  35.890122  34.434892 -10.116278
     1.230  35.232137  34.118494  -8.788162
     1.240  34.595763  33.766997  -7.527066
     1.250  33.980327  33.385655  -6.329346
     1.260  33.385123  32.979010  -5.191466
     1.270  32.809430  32.550981  -4.110029
     1.280  32.252524  32.104950  -3.081795
