13.650 -13.136 1556.730
13.675 -13.165 1459.402
13.700 -13.173 1431.282
13.725 -13.178 1388.950
13.750 -13.192 1334.217
13.775 -13.164 1401.738
13.800 -13.178 1388.525
13.825 -13.173 1318.651
13.850 -13.162 1326.351
13.875 -13.154 1354.309
13.900 -13.153 1393.098
13.925 -13.154 1438.497
13.950 -13.142 1511.716
13.975 -13.113 1584.943
14.000 -13.075 1642.485
14.025 -13.034 1725.316
14.050 -12.997 1822.966
14.075 -12.955 1952.628
14.100 -12.933 2074.538
14.125 -13.004 1943.730
14.150 -13.102 1651.527
14.175 -13.181 1346.912
14.200 -13.173 1337.213
14.225 -13.211 1142.765
14.250 -13.276 916.080
14.275 -13.298 747.149
14.300 -13.227 774.030
14.325 -13.148 854.756
14.350 -13.107 901.389
14.375 -13.146 855.219
14.400 -13.085 922.166
14.425 -13.019 999.764
14.450 -12.950 1086.338
14.475 -12.888 1168.547
14.500 -12.844 1230.592
14.525 -12.880 1168.577
14.550 -12.853 1212.611
14.575 -12.911 1126.170
14.600 -12.967 1046.764
14.625 -12.993 1010.936
14.650 -13.078 903.025
14.675 -13.204 772.457
14.700 -13.262 716.190
14.725 -13.269 708.206
14.750 -13.319 662.520
14.775 -13.372 618.188
14.800 -13.426 575.788
14.825 -13.479 537.189
14.850 -13.529 503.011
14.875 -13.572 475.058
14.900 -13.602 467.087
14.925 -13.601 539.499
14.950 -13.561 724.875
14.975 -13.480 1032.342
15.000 -13.327 1731.917
15.025 -13.138 2984.834
15.050 -13.114 2831.348
15.075 -13.102 2700.529
15.100 -13.102 2615.766
15.125 -13.119 2523.761
15.150 -13.124 2459.365
15.175 -13.128 2357.719
15.200 -13.149 2171.136
15.225 -13.173 2033.682
15.250 -13.181 1961.644
15.275 -13.167 1927.522
15.300 -13.131 1950.750
15.325 -13.087 2034.844
15.350 -13.054 2131.285
15.375 -13.032 2273.950
15.400 -13.035 2305.496
15.425 -13.041 2180.975
15.450 -13.089 1983.647
15.475 -13.135 1988.519
15.500 -13.165 2041.036
15.525 -13.184 2084.420
15.550 -13.196 1996.511
15.575 -13.206 1812.838
15.600 -13.222 1690.534
15.625 -13.253 1568.830
15.650 -13.303 1510.071
15.675 -13.291 1518.183
15.700 -13.265 1440.021
15.725 -13.256 1431.258
15.750 -13.246 1382.820
15.775 -13.262 1329.580
15.800 -13.272 1317.594
15.825 -13.277 1304.740
15.850 -13.254 1360.161
15.875 -13.209 1453.134
15.900 -13.148 1605.246
15.925 -13.098 1708.942
15.950 -13.042 1943.515
15.975 -13.017 1925.857
16.000 -12.947 2239.451
