     1.240    -0.153     0.481     0.505     9.885
     1.250    -0.174     0.485     0.515     9.709
     1.260    -0.193     0.488     0.525     9.539
     1.270    -0.213     0.491     0.535     9.374
     1.280    -0.232     0.493     0.545     9.215
     1.290    -0.252     0.494     0.554     9.061
     1.300    -0.270     0.495     0.564     8.912
     1.310    -0.289     0.495     0.573     8.768
     1.320    -0.307     0.495     0.582     8.628
     1.330    -0.325     0.494     0.591     8.493
     1.340    -0.342     0.492     0.600     8.362
     1.350    -0.360     0.491     0.608     8.235
     1.360    -0.377     0.489     0.617     8.112
     1.370    -0.393     0.486     0.625     7.993
     1.380    -0.410     0.483     0.633     7.877
     1.390    -0.426     0.480     0.641     7.765
     1.400    -0.442     0.476     0.649     7.656
     1.410    -0.457     0.472     0.657     7.550
     1.420    -0.472     0.468     0.665     7.448
     1.430    -0.487     0.463     0.672     7.348
     1.440    -0.501     0.458     0.679     7.252
     1.450    -0.516     0.453     0.686     7.158
     1.460    -0.529     0.448     0.693     7.067
     1.470    -0.543     0.442     0.700     6.979
     1.480    -0.556     0.436     0.707     6.893
     1.490    -0.569     0.430     0.713     6.810
     1.500    -0.582     0.423     0.719     6.729
     1.510    -0.594     0.417     0.726     6.651
     1.520    -0.606     0.410     0.732     6.575
     1.530    -0.618     0.403     0.738     6.501
     1.540    -0.629     0.395     0.743     6.429
     1.550    -0.641     0.388     0.749     6.360
     1.560    -0.651     0.380     0.754     6.292
     1.570    -0.662     0.372     0.760     6.227
     1.580    -0.672     0.364     0.765     6.164
     1.590    -0.682     0.356     0.770     6.102
     1.600    -0.692     0.348     0.775     6.043
     1.610    -0.701     0.340     0.779     5.985
     1.620    -0.710     0.331     0.784     5.930
     1.630    -0.719     0.322     0.788     5.876
     1.640    -0.728     0.314     0.792     5.824
     1.650    -0.736     0.305     0.797     5.774
     1.660    -0.744     0.296     0.801     5.725
     1.670    -0.752     0.286     0.804     5.679
     1.680    -0.759     0.277     0.808     5.634
     1.690    -0.766     0.268     0.812     5.591
     1.700    -0.773     0.258     0.815     5.549
     1.710    -0.780     0.249     0.818     5.510
     1.720    -0.786     0.239     0.822     5.471
     1.730    -0.792     0.229     0.825     5.435
     1.740    -0.798     0.219     0.828     5.400
     1.750    -0.803     0.209     0.830     5.367
     1.760    -0.809     0.200     0.833     5.335
     1.770    -0.814     0.189     0.835     5.305
     1.780    -0.818     0.179     0.838     5.277
     1.790    -0.823     0.169     0.840     5.250
     1.800    -0.827     0.159     0.842     5.225
